iata,icao,airport_name,city,country,lat,lon,tz
GKA,AYGA,Goroka Airport,Goroka,Papua New Guinea,-6.081689834590001,145.391998291,Pacific/Port_Moresby
MAG,AYMD,Madang Airport,Madang,Papua New Guinea,-5.20707988739,145.789001465,Pacific/Port_Moresby
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789855957031,144.29600524902344,Pacific/Port_Moresby
LAE,AYNZ,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,Pacific/Port_Moresby
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380355834961,147.22000122070312,Pacific/Port_Moresby
WWK,AYWK,Wewak International Airport,Wewak,Papua New Guinea,-3.58383011818,143.669006348,Pacific/Port_Moresby
UAK,BGBW,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877,America/Godthab
GOH,BGGH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859,America/Godthab
SFJ,BGSF,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647,America/Godthab
THU,BGTL,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939,America/Thule
AEY,BIAR,Akureyri Airport,Akureyri,Iceland,65.66000366210938,-18.07270050048828,Atlantic/Reykjavik
EGS,BIEG,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071289,-14.401399612426758,Atlantic/Reykjavik
HFN,BIHN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,Atlantic/Reykjavik
HZK,BIHU,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,Atlantic/Reykjavik
IFJ,BIIS,Ísafjörður Airport,Isafjordur,Iceland,66.05809783935547,-23.135299682617188,Atlantic/Reykjavik
KEF,BIKF,Keflavik International Airport,Keflavik,Iceland,63.985000610352,-22.605600357056,Atlantic/Reykjavik
PFJ,BIPA,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965,Atlantic/Reykjavik
RKV,BIRK,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415,Atlantic/Reykjavik
SIJ,BISI,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167,Atlantic/Reykjavik
VEY,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430114746094,-20.278900146484375,Atlantic/Reykjavik
YAM,CYAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625,America/Toronto
YAY,CYAY,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.083099365200006,America/St_Johns
YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583,America/Vancouver
YBB,CYBB,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098,America/Edmonton
YBC,CYBC,Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672,America/Toronto
YBG,CYBG,CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125,America/Toronto
YBK,CYBK,Baker Lake Airport,Baker Lake,Canada,64.29889678960001,-96.077796936,America/Winnipeg
YBL,CYBL,Campbell River Airport,Campbell River,Canada,49.950801849365234,-125.27100372314453,America/Vancouver
YBR,CYBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897,America/Winnipeg
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488,America/Edmonton
YCD,CYCD,Nanaimo Airport,Nanaimo,Canada,49.054970224899996,-123.869862556,America/Vancouver
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784,America/Vancouver
YCH,CYCH,Miramichi Airport,Chatham,Canada,47.007801,-65.449203,America/Halifax
YCL,CYCL,Charlo Airport,Charlo,Canada,47.990799,-66.330299,America/Halifax
YCO,CYCO,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997,America/Edmonton
YCT,CYCT,Coronation Airport,Coronation,Canada,52.0750007629,-111.444999695,America/Edmonton
YCW,CYCW,Chilliwack Airport,Chilliwack,Canada,49.1528015137,-121.939002991,America/Vancouver
YCY,CYCY,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446,America/Toronto
YZS,CYZS,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882,America/Coral_Harbour
YDA,CYDA,Dawson City Airport,Dawson,Canada,64.04309844970703,-139.1280059814453,America/Vancouver
YDB,CYDB,Burwash Airport,Burwash,Canada,61.37110137939453,-139.04100036621094,America/Vancouver
YDF,CYDF,Deer Lake Airport,Deer Lake,Canada,49.21080017089844,-57.39139938354492,America/St_Johns
YDL,CYDL,Dease Lake Airport,Dease Lake,Canada,58.4221992493,-130.031997681,America/Vancouver
YDN,CYDN,Dauphin Barker Airport,Dauphin,Canada,51.100799560546875,-100.052001953125,America/Winnipeg
YDQ,CYDQ,Dawson Creek Airport,Dawson Creek,Canada,55.7422981262207,-120.18299865722656,America/Dawson_Creek
YEG,CYEG,Edmonton International Airport,Edmonton,Canada,53.309700012200004,-113.580001831,America/Edmonton
YEK,CYEK,Arviat Airport,Eskimo Point,Canada,61.0942001343,-94.07080078119999,America/Winnipeg
YEN,CYEN,Estevan Airport,Estevan,Canada,49.2103004456,-102.966003418,America/Regina
YET,CYET,Edson Airport,Edson,Canada,53.578899383499994,-116.464996338,America/Edmonton
YEU,CYEU,Eureka Airport,Eureka,Canada,79.9946975708,-85.814201355,America/Winnipeg
YEV,CYEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419921880001,-133.483001709,America/Edmonton
YFB,CYFB,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801,America/Toronto
YFC,CYFC,Fredericton Airport,Fredericton,Canada,45.868900299072266,-66.53720092773438,America/Halifax
YFE,CYFE,Forestville Airport,Forestville,Canada,48.74610137939453,-69.09719848632812,America/Toronto
YFO,CYFO,Flin Flon Airport,Flin Flon,Canada,54.6781005859375,-101.68199920654297,America/Winnipeg
YFR,CYFR,Fort Resolution Airport,Fort Resolution,Canada,61.1808013916,-113.690002441,America/Edmonton
YFS,CYFS,Fort Simpson Airport,Fort Simpson,Canada,61.76020050048828,-121.23699951171875,America/Edmonton
YGK,CYGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22529983520508,-76.5969009399414,America/Toronto
YGL,CYGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.625301361083984,-77.7042007446289,America/Toronto
YGP,CYGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.7752990723,-64.4785995483,America/Toronto
YGQ,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830123901367,-86.93939971923828,America/Toronto
YGR,CYGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169067383,-61.778099060058594,America/Toronto
YHB,CYHB,Hudson Bay Airport,Hudson Bay,Canada,52.8166999817,-102.310997009,America/Regina
YHD,CYHD,Dryden Regional Airport,Dryden,Canada,49.831699,-92.744202,America/Winnipeg
YHI,CYHI,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280212402344,-117.80599975585938,America/Edmonton
YHK,CYHK,Gjoa Haven Airport,Gjoa Haven,Canada,68.635597229,-95.84970092770001,America/Edmonton
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,Canada,43.173599243199995,-79.93499755859999,America/Toronto
YHU,CYHU,Montréal / Saint-Hubert Airport,Montreal,Canada,45.5175018311,-73.4169006348,America/Toronto
YHY,CYHY,Hay River / Merlyn Carter Airport,Hay River,Canada,60.8396987915,-115.782997131,America/Edmonton
YHZ,CYHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276,America/Halifax
YIB,CYIB,Atikokan Municipal Airport,Atikokan,Canada,48.7738990784,-91.6386032104,America/Coral_Harbour
YIO,CYIO,Pond Inlet Airport,Pond Inlet,Canada,72.6832962036,-77.9666976929,America/Toronto
YJN,CYJN,St Jean Airport,St. Jean,Canada,45.29439926147461,-73.28109741210938,America/Toronto
YJT,CYJT,Stephenville Airport,Stephenville,Canada,48.5442008972168,-58.54999923706055,America/St_Johns
YKA,CYKA,Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244,America/Vancouver
YKF,CYKF,Waterloo Airport,Waterloo,Canada,43.460800170899994,-80.3786010742,America/Toronto
YKL,CYKL,Schefferville Airport,Schefferville,Canada,54.805301666259766,-66.8052978515625,America/Toronto
YKY,CYKY,Kindersley Airport,Kindersley,Canada,51.5175018311,-109.180999756,America/Regina
YKZ,CYKZ,Buttonville Municipal Airport,Toronto,Canada,43.86220169067383,-79.37000274658203,America/Toronto
YLD,CYLD,Chapleau Airport,Chapleau,Canada,47.81999969482422,-83.3467025756836,America/Toronto
YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,Canada,54.125301361083984,-108.52300262451172,America/Regina
YLL,CYLL,Lloydminster Airport,Lloydminster,Canada,53.309200286865234,-110.072998046875,America/Edmonton
YLT,CYLT,Alert Airport,Alert,Canada,82.51779937740001,-62.2806015015,America/Toronto
YLW,CYLW,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352,America/Vancouver
YMA,CYMA,Mayo Airport,Mayo,Canada,63.61640167236328,-135.8679962158203,America/Vancouver
YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.330299377441406,-105.55899810791016,America/Regina
YMM,CYMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122,America/Edmonton
YMO,CYMO,Moosonee Airport,Moosonee,Canada,51.291099548339844,-80.60780334472656,America/Toronto
YMW,CYMW,Maniwaki Airport,Maniwaki,Canada,46.2728004456,-75.9906005859,America/Toronto
YMX,CYMX,Montreal International (Mirabel) Airport,Montreal,Canada,45.679501,-74.038696,America/Toronto
YNA,CYNA,Natashquan Airport,Natashquan,Canada,50.189998626708984,-61.78919982910156,America/Toronto
YND,CYND,Ottawa / Gatineau Airport,Gatineau,Canada,45.521701812699995,-75.5635986328,America/Toronto
YNM,CYNM,Matagami Airport,Matagami,Canada,49.76169967651367,-77.80280303955078,America/Toronto
YOC,CYOC,Old Crow Airport,Old Crow,Canada,67.57060241699219,-139.83900451660156,America/Vancouver
YOD,CYOD,CFB Cold Lake,Cold Lake,Canada,54.404998779296875,-110.27899932861328,America/Edmonton
YOJ,CYOJ,High Level Airport,High Level,Canada,58.62139892578125,-117.16500091552734,America/Edmonton
YOW,CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215332,-75.66919708251953,America/Toronto
YPA,CYPA,Prince Albert Glass Field,Prince Albert,Canada,53.214199066199996,-105.672996521,America/Regina
YPE,CYPE,Peace River Airport,Peace River,Canada,56.226898,-117.446999,America/Edmonton
YPG,CYPG,Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817,America/Winnipeg
YPL,CYPL,Pickle Lake Airport,Pickle Lake,Canada,51.4463996887207,-90.21420288085938,America/Coral_Harbour
YPN,CYPN,Port Menier Airport,Port Menier,Canada,49.83639907836914,-64.2885971069336,America/Toronto
YPQ,CYPQ,Peterborough Airport,Peterborough,Canada,44.22999954223633,-78.36329650878906,America/Toronto
YPR,CYPR,Prince Rupert Airport,Prince Pupert,Canada,54.286098480199996,-130.445007324,America/Vancouver
YPY,CYPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.7672004699707,-111.11699676513672,America/Edmonton
YQA,CYQA,Muskoka Airport,Muskoka,Canada,44.974700927734375,-79.30329895019531,America/Toronto
YQB,CYQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303,America/Toronto
YQF,CYQF,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220138549805,-113.89399719238281,America/Edmonton
YQG,CYQG,Windsor Airport,Windsor,Canada,42.27560043334961,-82.95559692382812,America/Toronto
YQH,CYQH,Watson Lake Airport,Watson Lake,Canada,60.11640167236328,-128.82200622558594,America/Vancouver
YQK,CYQK,Kenora Airport,Kenora,Canada,49.788299560546875,-94.36309814453125,America/Winnipeg
YQL,CYQL,Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052,America/Edmonton
YQM,CYQM,Greater Moncton International Airport,Moncton,Canada,46.11220169067383,-64.67859649658203,America/Halifax
YQQ,CYQQ,Comox Airport,Comox,Canada,49.71080017089844,-124.88700103759766,America/Vancouver
YQR,CYQR,Regina International Airport,Regina,Canada,50.43190002441406,-104.66600036621094,America/Regina
YQT,CYQT,Thunder Bay Airport,Thunder Bay,Canada,48.37189865112305,-89.32389831542969,America/Toronto
YQU,CYQU,Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136,America/Edmonton
YQV,CYQV,Yorkton Municipal Airport,Yorkton,Canada,51.26470184326172,-102.46199798583984,America/Regina
YQW,CYQW,North Battleford Airport,North Battleford,Canada,52.76919937133789,-108.24400329589844,America/Regina
YQX,CYQX,Gander International Airport,Gander,Canada,48.9369010925293,-54.56809997558594,America/St_Johns
YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798,America/Halifax
YQZ,CYQZ,Quesnel Airport,Quesnel,Canada,53.026100158691406,-122.51000213623047,America/Vancouver
YRB,CYRB,Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985,America/Winnipeg
YRI,CYRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.764400482177734,-69.58470153808594,America/Toronto
YRJ,CYRJ,Roberval Airport,Roberval,Canada,48.52000045776367,-72.2656021118164,America/Toronto
YRM,CYRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.4296989441,-114.903999329,America/Edmonton
YRT,CYRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.8114013672,-92.1157989502,America/Winnipeg
YSB,CYSB,Sudbury Airport,Sudbury,Canada,46.625,-80.79889678955078,America/Toronto
YSC,CYSC,Sherbrooke Airport,Sherbrooke,Canada,45.4385986328125,-71.69139862060547,America/Toronto
YSJ,CYSJ,Saint John Airport,St. John,Canada,45.31610107421875,-65.89029693603516,America/Halifax
YSM,CYSM,Fort Smith Airport,Fort Smith,Canada,60.020301818847656,-111.96199798583984,America/Edmonton
YSR,CYSR,Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602,America/Toronto
YSU,CYSU,Summerside Airport,Summerside,Canada,46.44060134887695,-63.83359909057617,America/Halifax
YSY,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.9938964844,-125.242996216,America/Edmonton
YTE,CYTE,Cape Dorset Airport,Cape Dorset,Canada,64.2300033569,-76.5267028809,America/Toronto
YTH,CYTH,Thompson Airport,Thompson,Canada,55.80110168457031,-97.86419677734375,America/Winnipeg
YTR,CYTR,CFB Trenton,Trenton,Canada,44.118900299072266,-77.5280990600586,America/Toronto
YTS,CYTS,Timmins/Victor M. Power,Timmins,Canada,48.569698333699996,-81.376701355,America/Toronto
YTZ,CYTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202,America/Toronto
YUB,CYUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.43329620361328,-133.0260009765625,America/Edmonton
YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502,America/Toronto
YUT,CYUT,Repulse Bay Airport,Repulse Bay,Canada,66.5214004517,-86.22470092770001,America/Winnipeg
YUX,CYUX,Hall Beach Airport,Hall Beach,Canada,68.77610015869999,-81.2425,America/Toronto
YUY,CYUY,Rouyn Noranda Airport,Rouyn,Canada,48.20610046386719,-78.83560180664062,America/Toronto
YVC,CYVC,La Ronge Airport,La Ronge,Canada,55.151401519800004,-105.262001038,America/Regina
YVG,CYVG,Vermilion Airport,Vermillion,Canada,53.355800628699996,-110.823997498,America/Edmonton
YVM,CYVM,Qikiqtarjuaq Airport,Broughton Island,Canada,67.5457992554,-64.03140258789999,America/Toronto
YVO,CYVO,Val-d'Or Airport,Val D'or,Canada,48.0532989502,-77.7827987671,America/Toronto
YVP,CYVP,Kuujjuaq Airport,Quujjuaq,Canada,58.096099853515625,-68.4269027709961,America/Toronto
YVQ,CYVQ,Norman Wells Airport,Norman Wells,Canada,65.28160095214844,-126.7979965209961,America/Edmonton
YVR,CYVR,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108,America/Vancouver
YVT,CYVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,55.8418998718,-108.417999268,America/Regina
YVV,CYVV,Wiarton Airport,Wiarton,Canada,44.7458,-81.107201,America/Toronto
YWA,CYWA,Petawawa Airport,Petawawa,Canada,45.95220184326172,-77.31919860839844,America/Toronto
YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.909999847399995,-97.2398986816,America/Winnipeg
YWK,CYWK,Wabush Airport,Wabush,Canada,52.92190170288086,-66.8644027709961,America/Halifax
YWL,CYWL,Williams Lake Airport,Williams Lake,Canada,52.1831016541,-122.054000854,America/Vancouver
YWY,CYWY,Wrigley Airport,Wrigley,Canada,63.20940017700195,-123.43699645996094,America/Edmonton
