location,delay_minutes
HungaroControl (EC),2.64
Croatia Control,1.34
DFS + MUAC-DE,1.3
DSNA,1.14
ENAIRE,0.83
HASP,0.82
ENAV,0.61
Austro Control,0.32
NAV Portugal (Continental),0.26
Skyguide,0.21
PANSA,0.11
ROMATSA,0.09
LPS SR,0.04
Belgium-Lux. + MUAC  BE-LU,0.03
BULATSA,0.02
ANS CR,0.02
NAVIAIR,0.0
Malta Air Traffic Services Ltd.,-0.01
SE Oro Navigacija,-0.02
EANS,-0.02
AirNav Ireland,-0.03
LGS,-0.03
LVNL + MUAC-NL,-0.04
"Slovenia Control, Ltd",-0.04
Fintraffic ANS,-0.05
Avinor Flysikring AS,-0.07
LFV,-0.07
DCAC Cyprus,-0.14
