iata,deg_out,deg_in,deg_total
FRA,239,238,477
CDG,237,233,470
AMS,232,231,463
IST,227,230,457
ATL,217,216,433
PEK,206,206,412
ORD,206,203,409
MUC,191,189,380
DME,189,189,378
DFW,187,185,372
DXB,188,182,370
LHR,171,171,342
DEN,169,168,337
IAH,169,168,337
LGW,165,165,330
BCN,163,163,326
JFK,162,160,322
FCO,157,159,316
MAD,158,156,314
STN,153,152,305
EWR,153,152,305
PVG,152,153,305
CAN,150,149,299
LAX,149,148,297
DUS,147,147,294
YYZ,147,146,293
BRU,146,147,293
MAN,146,144,290
DUB,144,144,288
SVO,144,144,288
CLT,141,139,280
VIE,137,138,275
ZRH,137,136,273
MIA,135,134,269
DTW,135,134,269
HKG,133,134,267
LAS,133,133,266
ICN,131,131,262
MSP,130,130,260
PMI,126,126,252
SIN,125,125,250
IAD,126,122,248
ARN,123,123,246
PHL,122,121,243
BKK,121,121,242
CPH,121,120,241
ORY,119,120,239
DOH,116,118,234
AGP,115,115,230
KUL,112,111,223
LED,110,112,222
TXL,109,110,219
MXP,107,111,218
CTU,108,108,216
OSL,104,104,208
SFO,104,104,208
JED,109,98,207
ATH,104,102,206
NRT,103,103,206
BOS,103,102,205
TPE,103,102,205
MCO,102,102,204
LIS,103,101,204
GVA,101,100,201
SAW,98,98,196
DEL,97,97,194
FLL,97,97,194
ALC,96,96,192
KMG,95,95,190
MEX,94,95,189
PRG,94,94,188
YUL,93,92,185
CGN,92,92,184
SEA,90,94,184
PHX,91,91,182
GRU,92,90,182
SLC,90,91,181
DCA,91,89,180
NCE,90,90,180
CKG,89,89,178
EDI,88,89,177
HEL,88,88,176
AUH,87,89,176
HAM,87,87,174
CMN,87,87,174
SZX,86,86,172
XIY,86,86,172
MRS,86,85,171
LTN,85,85,170
SYD,85,83,168
TFS,83,83,166
CRL,83,83,166
BOM,83,82,165
JNB,81,83,164
LPA,80,83,163
CAI,81,82,163
BHX,81,81,162
RUH,80,81,161
BGY,80,80,160
STR,80,80,160
TLV,79,78,157
WAW,78,78,156
CUN,78,78,156
MNL,78,78,156
SHJ,78,78,156
LYS,77,78,155
BUD,77,77,154
