src_iata,dst_iata,num_routes
EGO,KZN,1
LED,KZN,3
IKT,BTK,1
IKT,ULK,3
IQT,TPP,2
PEM,CUZ,2
OUA,BOY,1
ARN,KSD,1
ARN,MHQ,1
GEV,ARN,2
GEV,KRF,2
OER,ARN,1
VBY,ARN,2
KKB,SYB,1
SYB,KPR,1
LGP,MNL,3
BSB,OPS,1
GYN,PMW,2
UDI,RAO,1
CGA,KTN,2
LGW,FNA,1
LOS,DKR,1
OXB,DKR,2
YGL,YGW,1
YKG,YQC,1
HKG,SIN,8
PNH,SIN,5
SIN,PNH,4
TPE,KIX,8
DRS,ZRH,1
ATL,PIB,1
MCO,FLL,3
MHH,MCO,2
CMN,BRU,3
PMI,NDR,1
TNG,AMS,2
TNG,LGW,1
BON,CUR,4
DME,SKD,2
FDF,SDQ,2
PTP,DOM,3
PTP,FDF,5
SBH,PTP,2
CGQ,NKG,5
CKG,HKT,2
CKG,LXA,8
CKG,SZX,6
CTU,DSN,1
CTU,LJG,5
CTU,PVG,7
CTU,TAO,5
CTU,URC,5
CTU,WUH,7
CTU,WUX,4
CTU,XUZ,1
CTU,YIH,1
CZX,XMN,2
DNH,LHW,2
DYG,CKG,2
HRB,WNZ,1
JJN,KWE,3
KMG,TAO,3
KMG,XUZ,1
KWE,HGH,6
LXA,CKG,8
NKG,SYX,3
TAO,KMG,3
XUZ,HRB,1
XUZ,KMG,1
YBP,XIY,1
CAI,TLV,1
TCT,TLJ,1
OVS,NYM,1
DAC,MCT,2
DAC,SPD,1
JED,DAC,3
KUL,DAC,5
SPD,DAC,1
BOG,MEX,4
MEX,CJS,3
MEX,ZCL,2
SAT,MTY,3
TLC,ACA,2
KBL,HEA,3
ZRH,AYT,3
ZRH,PRN,2
AMS,HAM,3
BCN,CGN,1
BIA,STR,1
CGN,RLG,1
CGN,SUF,1
DRS,CFU,1
DUB,DUS,2
DUS,CTA,6
DUS,DRS,2
DUS,KTW,1
DUS,PMI,5
EDI,CGN,1
HAJ,SPU,1
HAM,AMS,5
HAM,BUD,1
HER,HAM,4
HER,TXL,3
IBZ,STR,2
NAP,HAJ,1
SPU,HAM,1
SPU,TXL,2
STN,CGN,1
STR,BRU,1
STR,CTA,5
STR,DRS,1
STR,KVA,1
STR,LHR,4
STR,NAP,3
STR,PMI,4
STR,VIE,3
TXL,KLU,2
FAI,MLY,1
TAL,FAI,2
BET,KWT,2
KUK,NUP,2
KWK,BET,2
SJO,FON,3
SJO,XQP,3
TMU,SJO,3
TTQ,SJO,1
NBO,JUB,2
